Island Movers Inc,(808) 832-4827,"Honolulu, HI 96817",1,"","","",2.0,yelp.com/biz/island-movers-inc-honolulu-3,HI
The Brothers Movers,(808) 723-0161,"2137 Kalena DrHonolulu, HI 96817
            Neighborhood: Kalihi",1,"","",Mon 7 am - 5 pmTue-Fri 7:30 am - 5 pmSat 8 am - 5 pmSun 9 am - 5 pm,1.0,yelp.com/biz/the-brothers-movers-honolulu,HI
Bekins Hawaiian Movers Inc,(808) 488-7737,"91-120 Hanua StAiea, HI 96701",2,"","","",1.0,yelp.com/biz/bekins-hawaiian-movers-inc-aiea,HI
We Haul-Supermove,(808) 735-4697,"Honolulu, HI 96830Serving Honolulu and surrounding area",3,"","","",2.5,yelp.com/biz/we-haul-supermove-honolulu,HI
Tactical Extraction Movers,(808) 372-1020,"Honolulu, HI 96823",4,tacticalextractionmovers.com,Accepts Credit Cards:Yes,"",3.0,yelp.com/biz/tactical-extraction-movers-honolulu,HI
A&A Supreme Movers,(808) 783-2409,"Honolulu, HI 96819",12,aasuprememovershawaii.com/home,Accepts Credit Cards:No,"",3.0,yelp.com/biz/a-and-a-supreme-movers-honolulu,HI
Island Movers Inc,(808) 832-4000,"4397 Lawehana StreetHonolulu, HI 96818Serving Honolulu and surrounding area",17,islandmovers.com,Accepts Credit Cards:Yes,Mon-Fri 7:30 am - 5:30 pmSat 8 am - 12 pm,3.0,yelp.com/biz/island-movers-inc-honolulu-4,HI
Royal Hawaiian Movers,(808) 833-1611,"3017 Ualena StHonolulu, HI 96819Serving Honolulu and surrounding area",13,royalhawaiianmovers.com,Accepts Credit Cards:Yes,Mon-Fri 8 am - 5 pm,3.5,yelp.com/biz/royal-hawaiian-movers-honolulu,HI
Super Movers,(808) 783-9366,"Honolulu, HI 96819
            Neighborhood: Downtown",10,"",Accepts Credit Cards:No,"",3.0,yelp.com/biz/super-movers-honolulu,HI
JJ Movers,(808) 312-8417,"Honolulu, HI 96797Serving Honolulu and surrounding area",1,jjmovershi.com,Accepts Credit Cards:No,Mon-Sun 6 am - 12 am,5.0,yelp.com/biz/jj-movers-honolulu,HI
Akamai Movers,(808) 734-2544,"2909 Waialae AveSte 8Honolulu, HI 96826",1,akamaimovers.com,Accepts Credit Cards:Yes,Mon-Fri 8 am - 9 pmSat 8 am - 5 pm,5.0,yelp.com/biz/akamai-movers-honolulu,HI
S & S Delivery Inc,(808) 833-1857,"2856 Ualena StBay DHonolulu, HI 96819Serving Honolulu and surrounding area",5,honolulumovingservice.com,Accepts Credit Cards:Yes,Mon-Fri 7:30 am - 4 pmSat 7:30 am - 12 pm,5.0,yelp.com/biz/s-and-s-delivery-inc-honolulu,HI
Johnny The Mover,(808) 699-4070,"Honolulu, HI 96813Serving Honolulu and surrounding area",23,johnnythemover.com,Accepts Credit Cards:Yes,"",3.5,yelp.com/biz/johnny-the-mover-honolulu,HI
Kama'aina Movers,(808) 275-7155,"2630 Kapiolani BlvdHonolulu, HI 96826Serving Honolulu and surrounding area",55,5932.com/kamaaina,Accepts Credit Cards:No,Mon-Sun 7 am - 5 pm,4.5,yelp.com/biz/kamaaina-movers-honolulu,HI
Island Pet Movers,(808) 783-8419,"Honolulu, HI 96820",19,islandpetmovers.com,"",Mon-Fri 8 am - 6 pm,5.0,yelp.com/biz/island-pet-movers-honolulu,HI
Quick N Quality Movers,(808) 987-7813,"Honolulu, HI 96817Serving Honolulu and surrounding area",24,honolulumover.org,Accepts Credit Cards:Yes,Mon-Sat 9 am - 6 pm,4.5,yelp.com/biz/quick-n-quality-movers-honolulu,HI
Bekins,(800) 992-5202,"8010 Castleton RdIndianapolis, IN 46250",1,bekins.com/moving,"","",5.0,yelp.com/biz/bekins-indianapolis,IN
Here To There Movers,(888) 218-6683,"6800 E 30th StIndianapolis, IN 46226",4,heretotheremovers.com,Accepts Credit Cards:Yes,Mon-Sun 9 am - 5 pm,1.0,yelp.com/biz/here-to-there-movers-indianapolis,IN
"Master Movers, LLC",(317) 872-6683,"1433 Sadlier Cir W DrIndianapolis, IN 46239Serving Indianapolis and surrounding area",2,1mastermovers.com,Accepts Credit Cards:Yes,"Mon, Wed 8 am - 8 pmTue, Thu-Fri 9 am - 6 pmSat 8 am - 3 pm",1.0,yelp.com/biz/master-movers-llc-indianapolis,IN
University Mvg. & Stg. Co.,(317) 285-0699,"4620 W 84th StSte 300Indianapolis, IN 46268",1,navl.com/yelp-UniversityMovingIndi…,Accepts Credit Cards:Yes,"",1.0,yelp.com/biz/university-mvg-and-stg-co-indianapolis,IN
Morse Moving & Storage,(317) 856-1700,"4219 S High School RdIndianapolis, IN 46241",5,allied.com/local/Indianapolis-Movi…,Accepts Credit Cards:Yes,"",2.5,yelp.com/biz/morse-moving-and-storage-indianapolis,IN
Bekins Van Lines,(800) 456-8092,"8010 Castleton RdIndianapolis, IN 46250",4,bekins.com,Accepts Credit Cards:Yes,Mon-Fri 8 am - 5 pm,2.0,yelp.com/biz/bekins-van-lines-indianapolis-4,IN
We Do It All Movers,(317) 222-6075,"94 N Routiers AveIndianapolis, IN 46219",2,"","","",1.0,yelp.com/biz/we-do-it-all-movers-indianapolis,IN
Moving Dawgs,(800) 712-5865,"4333 W 71st StIndianapolis, IN 46268",4,movingdawgs.com,Accepts Credit Cards:Yes,Mon-Sat 8 am - 6 pm,3.0,yelp.com/biz/moving-dawgs-indianapolis,IN
Circle City Movers,(317) 244-7525,"3030 Mars Hill StIndianapolis, IN 46241Serving Indianapolis and surrounding area",4,circlecitymovers.net,Accepts Credit Cards:Yes,Mon-Sun 12 am - 12 am,2.0,yelp.com/biz/circle-city-movers-indianapolis-2,IN
Jones Movers Inc,(317) 351-9121,"361 S Post RdIndianapolis, IN 46219",3,"","","",2.5,yelp.com/biz/jones-movers-inc-indianapolis,IN
Two Men and a Truck,(317) 489-5750,"11787 Technology DrFishers, IN 46038",5,twomenandatruckindy.com,Accepts Credit Cards:Yes,"",3.0,yelp.com/biz/two-men-and-a-truck-fishers,IN
Stuarts Moving and Storage Inc,(317) 924-0505,"2058 Martin Luthern King StIndianapolis, IN 46201",1,"","",Mon-Fri 8 am - 5 pm,5.0,yelp.com/biz/stuarts-moving-and-storage-inc-indianapolis-2,IN
College Hunks Hauling Junk and College Hunks Moving,(317) 494-7002,"7740 E 88th StSte 400Indianapolis, IN 46256Serving Indianapolis and surrounding area",4,collegehunkshaulingjunk.com/locati…,Accepts Credit Cards:Yes,Mon-Sat 8 am - 9 pmSun 9 am - 6 pm,5.0,yelp.com/biz/college-hunks-hauling-junk-and-college-hunks-moving-indianapolis-2,IN
All My Sons Moving & Storage,(317) 354-2204,"5918 E 34th StreetIndianapolis, IN 46218",5,allmysons.com,Accepts Credit Cards:Yes,"",3.5,yelp.com/biz/all-my-sons-moving-and-storage-indianapolis-2,IN
Busy Bee Movers,(317) 783-2618,"6148 S Belmont StIndianapolis, IN 46217",4,busybeemovers.com,Accepts Credit Cards:Yes,Mon-Fri 7 am - 5 pmSat 7 am - 12 pm,5.0,yelp.com/biz/busy-bee-movers-indianapolis-2,IN
Norm's Moving & Hauling,(317) 507-6110,"4526 Evanston AveIndianapolis, IN 46205",9,"",Accepts Credit Cards:No,"",4.5,yelp.com/biz/norms-moving-and-hauling-indianapolis,IN
Collegian Movers,(203) 283-5044,"674 Naugatuck AveMilford, CT 06461Serving Milford and surrounding area",6,bestmove.com,"",Mon-Fri 8 am - 5 pmSat 8 am - 4 pm,3.5,yelp.com/biz/collegian-movers-milford,CT
Astro Moving Inc,(203) 330-8032,"250 Bishop AveBridgeport, CT 06610",2,astromoving.net,"",Mon-Sat 8 am - 6 pmSun 8 am - 12 pm,2.5,yelp.com/biz/astro-moving-inc-bridgeport-2,CT
A-Z Moving,(212) 518-3544,"978 Kent Ave        (between Willoughby Ave & Dekalb Ave)
Brooklyn, NY 11205Serving Brooklyn and surrounding area
            Neighborhoods: Bedford Stuyvesant, Clinton Hill",9,azmovingusa.com,Accepts Credit Cards:Yes,Mon-Fri 6 am - 1 amSat 7 am - 11 pmSun 9 am - 11 pm,1.0,yelp.com/biz/a-z-moving-brooklyn,CT
Imperial Moving & Storage,(212) 879-6683,"83 Washington Pl        (at Avenue Of The Americas)
New York, NY 10011Serving New York and surrounding area
            Neighborhood: Greenwich Village",16,imperialmoving.com,Accepts Credit Cards:Yes,Mon-Sun 6 am - 11 pm,4.0,yelp.com/biz/imperial-moving-and-storage-new-york-3,CT
"Yankee Movers, Inc. Moving and Storage",(212) 920-7601,"42-13 69th StQueens, NY 11377Serving Queens and surrounding area
            Neighborhood: Woodside",4,yankeemovers.com,Accepts Credit Cards:Yes,Mon-Fri 8 am - 8 pmSat 11 am - 7 pm,2.0,yelp.com/biz/yankee-movers-inc-moving-and-storage-queens,CT
West End Moving Company and Storage Facility,(866) 520-2264,"241 Pine StBridgeport, CT 06605",2,westendmove.com,"","",2.5,yelp.com/biz/west-end-moving-company-and-storage-facility-bridgeport,CT
Bekins Triple Crown Maffucci,(631) 842-6400,"140 New HwyAmityville, NY 11701Serving Amityville and surrounding area
            Neighborhood: Town of Babylon",11,maffuccimoving.com,Accepts Credit Cards:Yes,Mon-Fri 7 am - 6 pmSat 9 am - 1 pm,2.5,yelp.com/biz/bekins-triple-crown-maffucci-amityville-2,CT
New York Great Movers,(718) 600-3482,"558 W 26 StNew York, NY 10001Serving New York and surrounding area
            Neighborhood: Chelsea",17,nycgreatmovers.com,Accepts Credit Cards:No,Mon-Sun 8 am - 9:30 pm,4.5,yelp.com/biz/new-york-great-movers-new-york,CT
Veteran Movers NYC,(347) 737-8611,"Brooklyn, NY 11211Serving Brooklyn and surrounding area",68,veteranmoversnyc.com,Accepts Credit Cards:Yes,Mon-Sun 9 am - 6 pm,5.0,yelp.com/biz/veteran-movers-nyc-brooklyn-2,CT
Value Movers,(347) 264-5143,"3110 31st AveSte 100Astoria, NY 11106Serving Astoria and surrounding area
            Neighborhood: Astoria",26,value-movers.com,Accepts Credit Cards:Yes,Mon-Sun 8 am - 11:30 pm,4.5,yelp.com/biz/value-movers-astoria-4,CT
"Moore Moving Express, Inc.",(212) 744-6683,"1531 York Ave        (between 80th St & 81st St)
New York, NY 10028Serving New York and surrounding area
            Neighborhoods: Yorkville, Upper East Side",23,mooremovingservices.com,Accepts Credit Cards:Yes,"",4.5,yelp.com/biz/moore-moving-express-inc-new-york,CT
The Super Movers,(866) 684-8983,"83 14th St        (between 3rd Ave & 2nd Ave)
New York, NY 11215Serving New York and surrounding area
            Neighborhood: Gowanus",13,thesupermovers.com,Accepts Credit Cards:Yes,Mon-Fri 9 am - 6 pm,4.0,yelp.com/biz/the-super-movers-new-york,CT
